id,name,lifeexp
01,Aguascalientes,75.57
02,Baja California,73.57
03,Baja California Sur,75.82
04,Campeche,75.01
05,Coahuila de Zaragoza,75.22
06,Colima,75.62
07,Chiapas,72.47
08,Chihuahua,71.53
09,Distrito Federal,75.84
10,Durango,74.82
11,Guanajuato,75.11
12,Guerrero,72.47
13,Hidalgo,74.08
14,Jalisco,75.18
15,México,74.89
16,Michoacán de Ocampo,74.32
17,Morelos,75.22
18,Nayarit,74.47
19,Nuevo León,75.58
20,Oaxaca,72.52
21,Puebla,74.47
22,Querétaro,75.09
23,Quintana Roo,75.34
24,San Luis Potosí,74.26
25,Sinaloa,74.61
26,Sonora,74.95
27,Tabasco,74.43
28,Tamaulipas,75.24
29,Tlaxcala,74.83
30,Veracruz de Ignacio de la Llave,73.75
31,Yucatán,75.25
32,Zacatecas,74.81
